IdSensore,Tipologia,Unità DiMisura,IdStazione,NomeStazione,Quota,Provincia,DataStart,DataStop,Storico,UTM_Nord,UTM_Est,lng,lat,location
22006,Umidità Relativa,%,1890,Tavernole sul Mella Monte Guglielmo,1790,BS,14/10/2019,,N,5067376,591417,10.175407094582125,45.75389593743312,"(45.75389593743312, 10.175407094582125)"
22007,Direzione Vento,°,1890,Tavernole sul Mella Monte Guglielmo,1790,BS,14/10/2019,,N,5067376,591417,10.175407094582125,45.75389593743312,"(45.75389593743312, 10.175407094582125)"
22003,Temperatura,°C,1890,Tavernole sul Mella Monte Guglielmo,1790,BS,14/10/2019,,N,5067376,591417,10.175407094582125,45.75389593743312,"(45.75389593743312, 10.175407094582125)"
22009,Velocità Vento,m/s,1890,Tavernole sul Mella Monte Guglielmo,1790,BS,14/10/2019,,N,5067376,591417,10.175407094582125,45.75389593743312,"(45.75389593743312, 10.175407094582125)"
17612,Altezza Neve,cm,1545,San Siro Alpe Rescascìa,1285,CO,07/11/2019,,N,5102069,518430,9.238323435918229,46.071947417956004,"(46.071947417956004, 9.238323435918229)"
22011,Precipitazione,mm,1890,Tavernole sul Mella Monte Guglielmo,1790,BS,14/10/2019,,N,5067376,591417,10.175407094582125,45.75389593743312,"(45.75389593743312, 10.175407094582125)"
22002,Altezza Neve,cm,1890,Tavernole sul Mella Monte Guglielmo,1790,BS,06/11/2019,,N,5067376,591417,10.175407094582125,45.75389593743312,"(45.75389593743312, 10.175407094582125)"
22017,Radiazione Globale,W/m²,1890,Tavernole sul Mella Monte Guglielmo,1790,BS,14/10/2019,,N,5067376,591417,10.175407094582125,45.75389593743312,"(45.75389593743312, 10.175407094582125)"
5933,Precipitazione,mm,558,Busto Arsizio  Accam,206,VA,05/12/1998,,N,5047718,487687,8.842165456706075,45.582894292717725,"(45.582894292717725, 8.842165456706075)"
5865,Temperatura,°C,596,Osio Sotto v.per Levate,182,BG,04/04/2000,,N,5052072,547691,9.611737821812373,45.62055567939559,"(45.62055567939559, 9.611737821812373)"
19300,Velocità Vento,m/s,1514,Carenno centro sportivo,633,LC,30/07/2014,,N,5072042,536210,9.46596663838796,45.80098941456421,"(45.80098941456421, 9.46596663838796)"
19294,Umidità Relativa,%,1514,Carenno centro sportivo,633,LC,08/05/2018,,N,5072042,536210,9.46596663838796,45.80098941456421,"(45.80098941456421, 9.46596663838796)"
19293,Temperatura,°C,1514,Carenno centro sportivo,633,LC,08/05/2018,,N,5072042,536210,9.46596663838796,45.80098941456421,"(45.80098941456421, 9.46596663838796)"
32339,Umidità Relativa,%,857,Santa Margherita di Staffora Passo del Giovà,1363,PV,20/07/2017,,N,4947846,517168,9.216637428084992,44.68377850348632,"(44.68377850348632, 9.216637428084992)"
19301,Direzione Vento,°,1514,Carenno centro sportivo,633,LC,18/07/2014,,N,5072042,536210,9.46596663838796,45.80098941456421,"(45.80098941456421, 9.46596663838796)"
32336,Umidità Relativa,%,905,Cevo,1128,BS,20/07/2017,,N,5103920,606529,10.377774775825152,46.080550839800345,"(46.080550839800345, 10.377774775825152)"
2190,Radiazione Globale,W/m²,114,Landriano Cascina Marianna,88,PV,29/09/2005,,N,5018600,520938,9.26715311477454,45.32059361110084,"(45.32059361110084, 9.26715311477454)"
5910,Temperatura,°C,535,Lacchiarella v.Molise,97,MI,15/09/1998,,N,5019010,510542,9.134517264199278,45.32451741284727,"(45.32451741284727, 9.134517264199278)"
9027,Temperatura,°C,1206,Cavaria con Premezzo v. Cantalupa,274,VA,01/01/2004,,N,5059567,485026,8.807691068181894,45.68949337565816,"(45.68949337565816, 8.807691068181894)"
22023,Temperatura,°C,1891,Porto Valtravaglia San Michele,875,VA,30/01/2020,,N,5087930,477812,8.713738581276651,45.94458167053537,"(45.94458167053537, 8.713738581276651)"
22022,Precipitazione,mm,1891,Porto Valtravaglia San Michele,875,VA,30/01/2020,,N,5087930,477812,8.713738581276651,45.94458167053537,"(45.94458167053537, 8.713738581276651)"
6432,Radiazione Globale,W/m²,596,Osio Sotto v.per Levate,182,BG,04/04/2000,,N,5052072,547691,9.611737821812373,45.62055567939559,"(45.62055567939559, 9.611737821812373)"
19107,Velocità Vento,m/s,596,Osio Sotto v.per Levate,182,BG,30/01/2014,,N,5052072,547691,9.611737821812373,45.62055567939559,"(45.62055567939559, 9.611737821812373)"
17592,Altezza Neve,cm,1889,Val Masino Merdarola,2280,SO,21/12/2007,,N,5119691,544851,9.581636351731035,46.22931618794695,"(46.22931618794695, 9.581636351731035)"
6159,Umidità Relativa,%,596,Osio Sotto v.per Levate,182,BG,04/04/2000,,N,5052072,547691,9.611737821812373,45.62055567939559,"(45.62055567939559, 9.611737821812373)"
19108,Direzione Vento,°,596,Osio Sotto v.per Levate,182,BG,30/01/2014,,N,5052072,547691,9.611737821812373,45.62055567939559,"(45.62055567939559, 9.611737821812373)"
22026,Umidità Relativa,%,1891,Porto Valtravaglia San Michele,875,VA,30/01/2020,,N,5087930,477812,8.713738581276651,45.94458167053537,"(45.94458167053537, 8.713738581276651)"
5858,Precipitazione,mm,596,Osio Sotto v.per Levate,182,BG,04/04/2000,,N,5052072,547691,9.611737821812373,45.62055567939559,"(45.62055567939559, 9.611737821812373)"
17568,Direzione Vento,°,858,Santa Margherita di Staffora Casanova,575,PV,30/11/2018,,N,4957210,518916,9.239041605384262,44.76803190890912,"(44.76803190890912, 9.239041605384262)"
2384,Radiazione Globale,W/m²,127,Casatenovo tetto,360,LC,10/11/2003,,N,5060979,524066,9.309144812286515,45.70194614072786,"(45.70194614072786, 9.309144812286515)"
14546,Temperatura,°C,1376,Puegnago del Garda,291,BS,19/04/2013,,N,5048460,617051,10.500343116277602,45.5798285986204,"(45.5798285986204, 10.500343116277602)"
8154,Livello Idrometrico,cm,816,Sermide e Felonica SP 91,10,MN,20/01/2000,,N,4987208,680433,11.289925972511382,45.015363087231634,"(45.015363087231634, 11.289925972511382)"
8223,Temperatura,°C,816,Sermide e Felonica SP 91,10,MN,10/07/2003,,N,4987208,680433,11.289925972511382,45.015363087231634,"(45.015363087231634, 11.289925972511382)"
14545,Precipitazione,mm,1376,Puegnago del Garda,291,BS,19/04/2013,,N,5048460,617051,10.500343116277602,45.5798285986204,"(45.5798285986204, 10.500343116277602)"
17507,Velocità Vento,m/s,816,Sermide e Felonica SP 91,10,MN,21/10/2018,,N,4987208,680433,11.289925972511382,45.015363087231634,"(45.015363087231634, 11.289925972511382)"
14548,Direzione Vento,°,1376,Puegnago del Garda,291,BS,19/04/2013,,N,5048460,617051,10.500343116277602,45.5798285986204,"(45.5798285986204, 10.500343116277602)"
17506,Radiazione Globale,W/m²,816,Sermide e Felonica SP 91,10,MN,21/10/2018,,N,4987208,680433,11.289925972511382,45.015363087231634,"(45.015363087231634, 11.289925972511382)"
8222,Precipitazione,mm,816,Sermide e Felonica SP 91,10,MN,10/07/2003,,N,4987208,680433,11.289925972511382,45.015363087231634,"(45.015363087231634, 11.289925972511382)"
17578,Livello Idrometrico,cm,1881,Mezzana Bigli Passerella,76,PV,14/12/2018,,N,4990048,490350,8.877425675828292,45.06382594000262,"(45.06382594000262, 8.877425675828292)"
14547,Umidità Relativa,%,1376,Puegnago del Garda,291,BS,19/04/2013,,N,5048460,617051,10.500343116277602,45.5798285986204,"(45.5798285986204, 10.500343116277602)"
14549,Velocità Vento,m/s,1376,Puegnago del Garda,291,BS,19/04/2013,,N,5048460,617051,10.500343116277602,45.5798285986204,"(45.5798285986204, 10.500343116277602)"
17509,Direzione Vento,°,816,Sermide e Felonica SP 91,10,MN,21/10/2018,,N,4987208,680433,11.289925972511382,45.015363087231634,"(45.015363087231634, 11.289925972511382)"
29,Temperatura,°C,13,Valdidentro Cancano,1948,SO,03/05/1988,,N,5152051,601015,10.316821804332077,46.514447363313245,"(46.514447363313245, 10.316821804332077)"
14313,Livello Idrometrico,cm,1352,Calvisano Mezzane,71,BS,31/10/2012,15/11/2018,S,5022526,609865,10.402463389372352,45.3476344909781,"(45.3476344909781, 10.402463389372352)"
14019,Radiazione Globale,W/m²,1077,Oltre il Colle Zambla,1138,BG,13/01/2012,,N,5082261,561209,9.78893967466926,45.891193045896635,"(45.891193045896635, 9.78893967466926)"
2527,Umidità Relativa,%,139,Virgilio Mantova Cerese,19,MN,26/09/2003,19/09/2018,S,4997294,641005,10.792648102258525,45.115047425792355,"(45.115047425792355, 10.792648102258525)"
15,Livello Idrometrico,cm,8,Spriana Ponte sul Mallero,645,SO,01/05/1988,,N,5118488,566593,9.86339383247257,46.21670843699996,"(46.21670843699996, 9.86339383247257)"
6433,Radiazione Globale,W/m²,582,Bergamo v.S.Giorgio,249,BG,01/01/1989,14/04/2010,S,5058641,552746,9.677286764680007,45.67931285015467,"(45.67931285015467, 9.677286764680007)"
4043,Umidità Relativa,%,145,Darfo Boario Terme,222,BS,06/06/2002,,N,5080789,591371,10.17735680898138,45.87460210989037,"(45.87460210989037, 10.17735680898138)"
8146,Temperatura,°C,824,Clusone Campo Sportivo,591,BG,21/11/2001,21/07/2015,S,5081860,573451,9.94664890837357,45.88638608740617,"(45.88638608740617, 9.94664890837357)"
32404,Umidità Relativa,%,1680,Vilminore di Scalve Presolana,1856,BG,15/11/2017,,N,5092483,580679,10.041578002405918,45.98117244427475,"(45.98117244427475, 10.041578002405918)"
43,Precipitazione,mm,30,Lanzada Campo Moro,1970,SO,28/10/1989,,N,5128438,571423,9.927516632514688,46.30575597591281,"(46.30575597591281, 9.927516632514688)"
1367,Temperatura,°C,78,Tirano Monte Masuccio,1750,SO,01/01/2011,,N,5121837,590452,10.17331625898132,46.244088713270024,"(46.244088713270024, 10.17331625898132)"
35,Precipitazione,mm,23,Chiesa in Valmalenco S.Giuseppe,1428,SO,14/08/1987,,N,5128414,563900,9.829828867286842,46.30629072250093,"(46.30629072250093, 9.829828867286842)"
68,Altezza Neve,cm,30,Lanzada Campo Moro,1970,SO,01/02/1990,,N,5128438,571423,9.927516632514688,46.30575597591281,"(46.30575597591281, 9.927516632514688)"
100,Precipitazione,mm,52,Grosio Diga Fusino,1220,SO,01/01/2002,,N,5131141,595908,10.245970197827939,46.327055775545546,"(46.327055775545546, 10.245970197827939)"
40,Precipitazione,mm,27,Chiesa in Valmalenco Alpe dell' Oro,2040,SO,27/10/1989,,N,5130048,558743,9.76306882659023,46.321461574123596,"(46.321461574123596, 9.76306882659023)"
113,Precipitazione,mm,57,Branzi Caserma Carabinieri,830,BG,01/01/2002,,N,5094534,558779,9.75912783256968,46.0018575585613,"(46.0018575585613, 9.75912783256968)"
30889,Temperatura,°C,1562,Verceia Campo sportivo,200,SO,23/03/2016,,N,5116223,535141,9.455461718548348,46.19867642280887,"(46.19867642280887, 9.455461718548348)"
1368,Altezza Neve,cm,78,Tirano Monte Masuccio,1750,SO,24/08/2010,,N,5121837,590452,10.17331625898132,46.244088713270024,"(46.244088713270024, 10.17331625898132)"
19,Precipitazione,mm,12,Valdidentro Arnoga,1880,SO,02/05/1988,,N,5145777,595373,10.24200573511197,46.45882031954811,"(46.45882031954811, 10.24200573511197)"
20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,03/05/1988,,N,5152051,601015,10.316821804332077,46.514447363313245,"(46.514447363313245, 10.316821804332077)"
133,Temperatura,°C,61,Valdisotto Arginone,1050,SO,05/06/2006,,N,5137647,604113,10.353980048858165,46.384380971659404,"(46.384380971659404, 10.353980048858165)"
1366,Precipitazione,mm,78,Tirano Monte Masuccio,1750,SO,01/01/2011,,N,5121837,590452,10.17331625898132,46.244088713270024,"(46.244088713270024, 10.17331625898132)"
30890,Precipitazione,mm,1562,Verceia Campo sportivo,200,SO,23/03/2016,,N,5116223,535141,9.455461718548348,46.19867642280887,"(46.19867642280887, 9.455461718548348)"
54,Temperatura,°C,29,Chiesa in Valmalenco Funivia Bernina,2014,SO,28/10/1989,,N,5126716,566527,9.863699890856447,46.29075801339412,"(46.29075801339412, 9.863699890856447)"
1346,Temperatura,°C,27,Chiesa in Valmalenco Alpe dell' Oro,2040,SO,01/01/2011,,N,5130048,558743,9.76306882659023,46.321461574123596,"(46.321461574123596, 9.76306882659023)"
34,Precipitazione,mm,8,Spriana Ponte sul Mallero,645,SO,14/08/1987,,N,5118488,566593,9.86339383247257,46.21670843699996,"(46.21670843699996, 9.86339383247257)"
66,Altezza Neve,cm,27,Chiesa in Valmalenco Alpe dell' Oro,2040,SO,01/02/1990,,N,5130048,558743,9.76306882659023,46.321461574123596,"(46.321461574123596, 9.76306882659023)"
139,Altezza Neve,cm,61,Valdisotto Arginone,1050,SO,05/06/2006,,N,5137647,604113,10.353980048858165,46.384380971659404,"(46.384380971659404, 10.353980048858165)"
